Index,Question,Q_KeyEntities,Q_KGEntities,Answer,A_KeyEntities,A_KGEntities
2869,"Doctor, I've been having this terrible pain in my back, ankle, muscles, knees and even in my hands and fingers, what could be the problem? ","['Back pain', 'Ankle pain', 'Muscle pain', 'Knee pain', 'Hand pain and Finger pain']","['Back_pain', 'Ankle_pain', 'Muscle_pain', 'Knee_pain', 'Hand_or_finger_pain']","It sounds like you may be suffering from osteoarthritis, a condition where the cartilage in your joints wears down over time, causing pain and discomfort.","['Osteoarthritis', 'Joint pain', 'Cartilage wear and tear']","['Osteochondrosis', 'Joint_pain', 'Collagen']"
2870,"Doctor, my throat feels tight, what could be the problem?","['Throat tightness', 'Throat problems or disorders. ']","['Throat_feels_tight', 'Throat_irritation']","Based on your symptoms, it seems that you may have a thyroid disease.",['Thyroid disease'],['Hashimoto_thyroiditis']
2871,"Doctor, lately I have been feeling like my throat is tight and I've noticed a lump in my neck. Also, my neck seems to be more swollen than usual.","['Throat tightness', 'Neck lump', 'Neck swelling']","['Throat_feels_tight', 'Lump_in_throat', 'Neck_swelling']","These symptoms could be caused by a thyroid disease. I will have to conduct further tests to confirm a diagnosis, but it's likely that your thyroid gland is not functioning properly.","['Thyroid disease', 'Thyroid gland dysfunction']","['Hashimoto_thyroiditis', 'Thyroxine_(Synthroid)']"
2872,"Doctor, I have been experiencing neck swelling, difficulty in swallowing, hot flashes and restlessness. What could be the problem?","['Neck swelling', 'Difficulty swallowing', 'Hot flashes', 'Restlessness']","['Neck_swelling', 'Difficulty_in_swallowing', 'Hot_flashes', 'Restlessness']",These symptoms indicate that you may have a thyroid disease. We will need to run some tests to confirm the diagnosis.,"['Thyroid disease', 'Diagnostic tests', 'Diagnosis confirmation']","['Hashimoto_thyroiditis', 'Hematologic_tests_(Blood_test)', 'Diagnostic_procedures_on_ear']"
2873,"Doctor, I'm experiencing some unusual symptoms lately. My throat feels very tight, and I keep having hot flashes. I also feel a lump in my throat and have been restless.","['Tight throat', 'Hot flashes', 'Lump in throat', 'Restlessness']","['Sore_throat', 'Hot_flashes', 'Lump_in_throat', 'Restlessness']","Based on your symptoms, it sounds like you may have a thyroid disease. We will need to run some tests to confirm.","['Thyroid disease', 'Diagnostic tests']","['Hashimoto_thyroiditis', 'Hematologic_tests_(Blood_test)']"
2874,"Doctor, I have been experiencing a tight feeling in my throat, and a lot of drainage in my throat. Also, my behavior has been really hostile lately.","['Tightness in throat', 'Drainage in throat', 'Hostile behavior']","['Throat_feels_tight', 'Drainage_in_throat', 'Hostile_behavior']",These symptoms sound like they could be related to a thyroid disease. I would suggest scheduling a blood test to check your thyroid hormone levels.,"['Thyroid disease', 'Blood test', 'Thyroid hormone levels']","['Hashimoto_thyroiditis', 'Hematologic_tests_(Blood_test)', 'Thyroxine_(Synthroid)']"
2875,"Doctor, I have been experiencing a persistent cough and it hurts to breathe. What could be wrong with me?","['Persistent cough', 'Painful breathing']","['Cough', 'Difficulty_breathing']","Based on your symptoms, it sounds like you may have pharyngitis which is inflammation of the pharynx or back of the throat.","['Pharyngitis', 'Inflammation of pharynx', 'Back of the throat.']","['Nasal_congestion', 'Diagnostic_procedures_on_nose;_mouth_and_pharynx', 'Lump_in_throat']"
2876,"Doctor, I have been having a lot of difficulty in swallowing recently. ",['Swallowing difficulty (Dysphagia)'],['Difficulty_in_swallowing'],"Based on your symptoms, it seems like you have Pharyngitis, which is an inflammation of the pharynx.","['Pharyngitis', 'Inflammation of pharynx']","['Nasal_congestion', 'Diagnostic_procedures_on_nose;_mouth_and_pharynx']"
2877,"Hey doc, I've been having this cough and wheezing for a few days now, and it's been difficult for me to swallow without feeling pain. I also have a fever, and recently I've been experiencing sharp abdominal pain. What could be wrong with me? ","['Cough', 'Wheezing', 'Painful swallowing', 'Fever', 'Sharp abdominal pain']","['Cough', 'Wheezing', 'Difficulty_in_swallowing', 'Fever', 'Sharp_abdominal_pain']","Based on your symptoms, it sounds like you might have pharyngitis. I recommend you rest and drink plenty of fluids, and I will prescribe you some antibiotics that will help with the infection in your throat.","['Pharyngitis', 'Antibiotics']","['Nasal_congestion', 'Ampicillin']"
2878,"Doctor, I have been experiencing sharp chest pain lately. What could be causing this?","['Chest pain', 'Sharp pain']","['Sharp_chest_pain', 'Sharp_abdominal_pain']",The sharp chest pain could be due to chronic rheumatic fever.,"['Chest pain', 'Chronic rheumatic fever']","['Sharp_chest_pain', 'Chronic_sinusitis']"
2879,"Doctor, I'm experiencing some discomfort in my throat. It feels tight and I have a lot of drainage. What could be causing this?","['Throat discomfort', 'Tight throat', 'Drainage']","['Throat_irritation', 'Sore_throat', 'Drainage_in_throat']","Based on your symptoms, it's possible that you have chronic rheumatic fever. This condition can cause inflammation in the throat and lead to these symptoms. It's important we do some testing to confirm the diagnosis and create a treatment plan.","['chronic rheumatic fever', 'inflammation in the throat', 'testing', 'treatment plan']","['Chronic_sinusitis', 'Throat_irritation', 'Standard_pregnancy_test', 'Psychotherapy']"
2880,"Doctor, I have been experiencing chest tightness lately.",['Chest tightness'],['Chest_tightness'],You might be suffering from chronic rheumatic fever. Have you experienced any joint pain or fever as well?,"['Chronic rheumatic fever', 'Joint pain', 'Fever']","['Chronic_sinusitis', 'Joint_pain', 'Fever']"
2881,"Doctor, I've been experiencing some symptoms like fluid in ear, dizziness and shortness of breath lately. What could be the reason behind it?","['Fluid in ear', 'Dizziness', 'Shortness of breath']","['Fluid_in_ear', 'Dizziness', 'Shortness_of_breath']","Based on your symptoms, it seems like you are suffering from Chronic Rheumatic Fever. It is a rare complication that can arise from untreated strep throat.","['Chronic Rheumatic Fever', 'Strep throat', 'Complication']","['Chronic_sinusitis', 'Sore_throat', 'Combivent']"
2882,"Hi doctor, I have been experiencing shortness of breath, nausea and weakness in my legs, what could be the problem?","['Shortness of breath', 'Nausea', 'Weakness in legs']","['Shortness_of_breath', 'Nausea', 'Leg_pain']","Based on your symptoms, it is possible that you are suffering from Hypocalcemia.",['Hypocalcemia'],['Hyperkalemia']
2883,"Doctor, I have been experiencing shortness of breath, loss of sensation, sharp abdominal pain, and sharp chest pain. What could be the problem?","['Shortness of breath', 'Loss of sensation', 'Abdominal pain', 'Chest pain']","['Shortness_of_breath', 'Loss_of_sensation', 'Sharp_abdominal_pain', 'Sharp_chest_pain']","Based on your symptoms, it seems you have Hypocalcemia, which means low levels of calcium in your blood.","['Hypocalcemia', 'Low levels of calcium in blood']","['Hyperkalemia', 'Calcium_Citrate']"
2884,"Doctor, I'm experiencing constipation and a loss of sensation. What could be the cause of this?","['Constipation', 'Loss of sensation']","['Constipation', 'Loss_of_sensation']","The cause of your symptoms may be due to a condition called Hypocalcemia, which is a deficiency of calcium in your blood.","['Hypocalcemia', 'Calcium deficiency']","['Hyperkalemia', 'Calcium_Citrate']"
2885,"Doctor, I have been feeling nauseous and I am experiencing sharp abdominal pain.","['Nausea', 'Abdominal pain']","['Nausea', 'Sharp_abdominal_pain']","Based on your symptoms, it sounds like you may be experiencing hypocalcemia.",['Hypocalcemia'],['Hyperkalemia']
2886,"Doctor, I have been experiencing lacrimation and blindness lately. What could be the cause?","['Lacrimation', 'Blindness']","['Lacrimation', 'Blindness']","Based on your symptoms, it is possible that you are suffering from macular degeneration, a condition that affects the central part of your retina leading to vision loss.","['Macular degeneration', 'Central part of retina', 'Vision loss']","['Glaucoma', 'Diabetic_retinopathy', 'Diminished_vision']"
2887,"Hi Doctor, I've been experiencing some double vision lately.",['Double vision'],['Double_vision'],"Based on your symptoms, it is likely that you're suffering from Macular degeneration.",['Macular degeneration'],['Glaucoma']
2888,"Doctor, I'm experiencing blindness in one eye, as well as spots and clouds in my vision. I've also been having excessive tearing from that eye and even noticed some bleeding. Additionally, I've noticed abnormal movement in my eyelid. Can you please tell me what's going on?","['Blindness in one eye', 'Spots and clouds in vision', 'Excessive tearing', 'Bleeding', 'Abnormal movement in eyelid']","['Diminished_vision', 'Spots_or_clouds_in_vision', 'Stiffness_all_over', 'Rectal_bleeding', 'Abnormal_movement_of_eyelid']","Based on your symptoms, it sounds like you may be experiencing macular degeneration. This condition affects the macula, which is responsible for central vision. It can cause gradual vision loss, blind spots, and distorted vision. I recommend coming in for a comprehensive eye exam to determine the extent of the condition and discuss possible treatment options.","['Macular degeneration', 'Central vision loss', 'Gradual vision loss', 'Blind spots', 'Distorted vision', 'Comprehensive eye exam', 'Treatment options']","['Glaucoma', 'Diminished_vision', 'Blindness', 'Spots_or_clouds_in_vision', 'Double_vision', 'Ophthalmic_examination_and_evaluation_(Eye_exam)', 'Other_therapeutic_procedures']"
2889,"Doctor, I have been experiencing some strange symptoms in my vision. There seem to be spots or clouds that won't go away. ","['Strange vision symptoms', 'Spots or clouds in vision']","['Symptoms_of_eye', 'Spots_or_clouds_in_vision']","Based on your description, it sounds like you may be experiencing symptoms of macular degeneration. Have you also noticed any bleeding from your eye?","['Macular degeneration', 'Bleeding from the eye']","['Glaucoma', 'Bleeding_from_eye']"
2890,"Doctor, I have been experiencing diminished vision lately. What could be causing this?",['Diminished Vision'],['Diminished_vision'],"Based on the symptom you just described, it sounds like you could be experiencing macular degeneration.",['Macular degeneration'],['Glaucoma']
2891,"Doctor, I have been experiencing sharp chest pain, coryza, nasal congestion, weakness, and wheezing. What could be the problem? ","['Chest pain', 'Coryza', 'Nasal congestion', 'Weakness', 'Wheezing']","['Sharp_chest_pain', 'Coryza', 'Nasal_congestion', 'Weakness', 'Wheezing']","Based on your symptoms, you most likely have pneumonia.",['Pneumonia'],['Cough']
2892,"Doctor, I have been experiencing coryza lately. What could be the reason for it?","['Coryza', 'Reason for coryza']","['Coryza', 'Pentazocine_(Talwin)']",You could be likely experiencing coryza due to pneumonia.,"['Coryza', 'Pneumonia']","['Coryza', 'Cough']"
2893,"Hi doctor, I have been experiencing vomiting, nasal congestion, wheezing, fever and sharp chest pain. Do you have any idea what is wrong with me?","['Vomiting', 'Nasal congestion', 'Wheezing', 'Fever', 'Sharp chest pain']","['Vomiting', 'Nasal_congestion', 'Wheezing', 'Fever', 'Sharp_chest_pain']","Yes, based on your symptoms, it seems like you might have pneumonia.",['Pneumonia'],['Cough']
2894,"Doctor, I have been experiencing vomiting and weakness lately, can you please tell me what could be wrong with me?","['Vomiting', 'Weakness']","['Vomiting', 'Weakness']","It seems that you could have pneumonia, which is an infection in your lungs that can cause symptoms such as vomiting and weakness. I recommend further evaluation and treatment to help you feel better.","['Pneumonia', 'Infection in lungs', 'Vomiting', 'Weakness']","['Cough', 'Abscess_of_the_lung', 'Vomiting', 'Weakness']"
2895,"Doctor, I have a sore on my lip and my skin around it feels itchy and swollen, what could it be?","['Lip sore', 'Itchy skin', 'Swollen skin']","['Lip_swelling', 'Itching_of_skin', 'Skin_swelling']","Based on your symptoms, it seems likely that you have a cold sore.",['Cold sore'],['Sore_throat']
2896,"Doctor, I have this painful sore on my lip and my skin surrounding it is swollen. Also, I have been experiencing fever recently.","['Lip sore', 'Swollen skin', 'Fever']","['Lip_swelling', 'Skin_swelling', 'Fever']","Based on your symptoms, it seems like you have a cold sore.",['Cold sore'],['Sore_throat']
2897,"Doctor, I am having an ulcer in my mouth and it is so itchy.","['Mouth ulcer', 'Itching']","['Mouth_ulcer', 'Itching_of_skin']",It sounds like you have a cold sore. Have you had any blisters around your mouth or lips?,"['Cold sore', 'Blisters', 'Mouth', 'Lips']","['Sore_throat', 'Warts', 'Mouth_ulcer', 'Dry_lips']"
2898,"Doctor, I'm experiencing sharp chest pain, can you tell me what might be causing it?",['Sharp chest pain'],['Sharp_chest_pain'],"Based on your symptoms, it's possible that you're experiencing premature ventricular contractions or PVCs.",['Premature ventricular contractions (PVCs)'],['Irregular_heartbeat']
2899,"Doctor, I have been experiencing back cramps or spasms, impotence, increased heart rate, sharp chest pain and palpitations. What could be the cause of this?","['Back cramps', 'Back spasms', 'Impotence', 'Increased heart rate', 'Sharp chest pain', 'Palpitations']","['Back_cramps_or_spasms', 'Low_back_cramps_or_spasms', 'Impotence', 'Increased_heart_rate', 'Sharp_chest_pain', 'Palpitations']",The set of symptoms you have described might be due to Premature ventricular contractions (PVCs).,['Premature ventricular contractions (PVCs)'],['Irregular_heartbeat']
2900,"Hi doctor, I have been having some back cramps or spasms along with shortness of breath, chest tightness, sharp chest pain, and difficulty breathing. What could be the problem?","['Back cramps or spasms', 'Shortness of breath', 'Chest tightness', 'Sharp chest pain', 'Difficulty breathing']","['Back_cramps_or_spasms', 'Shortness_of_breath', 'Chest_tightness', 'Sharp_chest_pain', 'Difficulty_breathing']","Based on your symptoms, it is possible that you are experiencing Premature ventricular contractions (PVCs), which is an irregular heartbeat that can cause those symptoms. I recommend conducting a thorough cardiac evaluation to confirm the diagnosis.","['Premature ventricular contractions (PVCs)', 'Irregular heartbeat', 'Cardiac evaluation']","['Irregular_heartbeat', 'Atrial_fibrillation', 'Cardiac_monitoring_(Cardiac_monitor)']"
2901,"Hi doctor, I have been experiencing sleepiness, back cramps, and palpitations recently. Do you know what might be causing these symptoms?","['Sleepiness', 'Back cramps', 'Palpitations']","['Sleepiness', 'Back_cramps_or_spasms', 'Palpitations']","Yes, based on your symptoms you may be experiencing premature ventricular contractions or PVCs. These are extra, abnormal heartbeats that can cause the sensation of palpitations. The lack of sleep caused by your sleepiness might also be contributing to your palpitations. The back cramps you are experiencing could be a result of the stress and anxiety caused by your symptoms.","['Premature ventricular contractions (PVCs)', 'Palpitations', 'Lack of sleep', 'Back cramps', 'Stress', 'Anxiety']","['Irregular_heartbeat', 'Palpitations', 'Sleepiness', 'Back_cramps_or_spasms', 'Fatigue', 'Anxiety_and_nervousness']"
2902,"Doctor, I've been experiencing chest tightness and back cramps or spasms lately, what could be the cause?","['Chest tightness', 'Back cramps', 'Back spasms', 'Cause']","['Chest_tightness', 'Back_cramps_or_spasms', 'Low_back_cramps_or_spasms', 'Lack_of_growth']","Based on the symptoms you've described, it's possible that you may be experiencing premature ventricular contractions or PVCs.",['Premature ventricular contractions (PVCs)'],['Irregular_heartbeat']
2903,"Hi Doctor, I've been experiencing some symptoms lately like pain in my eye, facial pain and a lump on my knee. Do you know what might be causing this? ","['Eye pain', 'Facial pain', 'Knee lump']","['Pain_in_eye', 'Facial_pain', 'Knee_lump_or_mass']","Yes, based on the symptoms you have described, it's possible that you have chancroid.",['Chancroid'],['Carteolol']
2904,"Doctor, I have been experiencing wrist pain, pain in my breast, ankle pain, facial pain and excessive anger. What could these symptoms be signs of?","['Wrist pain', 'Breast pain', 'Ankle pain', 'Facial pain', 'Excessive anger']","['Wrist_pain', 'Pain_or_soreness_of_breast', 'Ankle_pain', 'Facial_pain', 'Excessive_anger']",These symptoms could be signs of Chancroid. Chancroid is a bacterial sexually transmitted infection that causes painful sores on the genitals and can also lead to swelling and tenderness in the groin area.,"['Chancroid', 'Sexually transmitted infection', 'Painful sores on genitals', 'Swelling in groin area', 'Tenderness in groin area']","['Carteolol', 'Vaginitis', 'Vulvar_irritation', 'Swelling_of_scrotum', 'Groin_pain']"
2905,"Doctor, I have been experiencing excessive anger, pain in my eye, fatigue, pain during pregnancy, and a lump on my knee. What could be the problem?","['Excessive anger', 'Eye pain', 'Fatigue', 'Pain during pregnancy', 'Lump on knee']","['Excessive_anger', 'Pain_in_eye', 'Fatigue', 'Pain_during_pregnancy', 'Knee_lump_or_mass']","Based on your symptoms, you could be suffering from chancroid. It is a bacterial infection that can cause ulcers and bumps on the genital area, thighs or groin. However, I will need to run some tests to confirm the diagnosis.","['Chancroid', 'bacterial infection', 'Ulcers', 'Bumps', 'Genital area', 'Thighs', 'Groin', 'Diagnostic tests']","['Carteolol', 'Vaginitis', 'Mouth_ulcer', 'Bumps_on_penis', 'Other_OR_therapeutic_procedures;_male_genital', 'Groin_mass', 'Groin_pain', 'Hematologic_tests_(Blood_test)']"
2906,"Doctor, I am feeling pain or soreness in my breast and my joints are also feeling stiff and tired. I am also experiencing fatigue, excessive anger, and ankle pain. ","['Breast pain', 'Joint stiffness', 'Fatigue', 'Excessive anger', 'Ankle pain']","['Pain_or_soreness_of_breast', 'Joint_stiffness_or_tightness', 'Fatigue', 'Excessive_anger', 'Ankle_pain']","Based on your symptoms, it appears that you might be suffering from Chancroid. It is a bacterial infection that causes painful ulcers on the genital area. It can also cause swollen lymph nodes in the groin area and lead to complications if left untreated. ","['Chancroid', 'Bacterial infection', 'Painful ulcers on genital area', 'Swollen lymph nodes. ']","['Carteolol', 'Vaginitis', 'Vulvar_irritation', 'Swollen_lymph_nodes']"
2907,"Doctor, I am experiencing a knee lump or mass and pain during pregnancy. What could be causing this?","['Knee lump or mass', 'Pain during pregnancy']","['Knee_lump_or_mass', 'Pain_during_pregnancy']",These symptoms could be caused by a sexually transmitted infection called chancroid. It's important to get tested and treated right away to prevent complications.,"['sexually transmitted infection', 'chancroid', 'testing', 'treatment', 'complications']","['Vaginitis', 'Carteolol', 'Standard_pregnancy_test', 'Psychotherapy', 'Headache']"
2908,"Doctor, I have been feeling nauseous lately. Do you know what's wrong with me?",['Nausea'],['Nausea'],"Have you noticed any lumps or swelling in your testicles?Patient Yes, come to think of it, there has been a lump in one of them for a while. ",['Testicular lump or swelling'],['Swelling_of_scrotum']
2909,"Doctor, I have noticed that the skin on my arm looks infected. Could it be a skin infection or something more serious?","['Skin infection', 'Arm infection', 'Serious infection']","['Skin_irritation', 'Skin_on_arm_or_hand_looks_infected', 'Vaginitis']","That symptom is not specific to a skin infection, it could be a sign of testicular cancer spreading to the lymph nodes in your armpit, causing a condition called lymphedema. Have you noticed any changes in your testicles or experienced any pain in that area?","['Skin infection', 'Testicular cancer', 'Lymph nodes', 'Lymphedema', 'Changes in testicles', 'Pain in testicular area']","['Skin_irritation', 'Pain_in_testicles', 'Swollen_lymph_nodes', 'Lymphedema', 'Symptoms_of_the_scrotum_and_testes', 'Swelling_of_scrotum']"
2910,"Doctor, I have noticed a mass in my scrotum.",['Scrotal mass'],['Mass_in_scrotum'],"Based on your symptoms, you might be having testicular cancer. We will have to conduct some tests to confirm the diagnosis.","['Testicular cancer', 'Diagnostic tests']","['Pain_in_testicles', 'Hematologic_tests_(Blood_test)']"
2911,"Doctor, I am experiencing painful urination and I also have pain in my testicles.","['Painful urination', 'Testicular pain']","['Painful_urination', 'Pain_in_testicles']","Based on your symptoms, it's possible that you may have testicular cancer. We will need to run some tests to confirm the diagnosis.","['Testicular cancer', 'Diagnostic tests']","['Pain_in_testicles', 'Hematologic_tests_(Blood_test)']"
2912,"Doctor, I've been experiencing some symptoms lately. I noticed diminished hearing, nausea and groin pain.","['Diminished hearing', 'Nausea', 'Groin pain']","['Diminished_hearing', 'Nausea', 'Groin_pain']",It sounds like you need an urgent medical examination. These are symptoms of testicular cancer. We need to run some tests to confirm the diagnosis.,"['Testicular cancer', 'Medical examination', 'Diagnostic tests']","['Pain_in_testicles', 'Rectal_examination', 'Hematologic_tests_(Blood_test)']"
2913,"Doctor, I have been experiencing seizures, disturbance of memory and stiffness in my arms. What could be the problem?","['Seizures', 'Memory disturbance', 'Stiffness in arms']","['Seizures', 'Disturbance_of_memory', 'Arm_stiffness_or_tightness']","Based on your symptoms, it could be hydrocephalus, a condition where there is an accumulation of cerebrospinal fluid in the brain.","['Hydrocephalus', 'Accumulation of cerebrospinal fluid in brain']","['Normal_pressure_hydrocephalus', 'Intracranial_hemorrhage']"
2914,"Doctor, I have been feeling tingling and numbness in my hands and feet. ","['Tingling sensation in hands and feet', 'Numbness in hands and feet']","['Loss_of_sensation', 'Hand_or_finger_pain']","Based on your symptoms, it is possible that you have Hydrocephalus, a condition that causes the accumulation of cerebrospinal fluid in the brain. It can lead to nerve damage and paresthesia, or abnormal sensations like tingling and numbness. You will need further testing to confirm the diagnosis.","['Hydrocephalus', 'Cerebrospinal fluid accumulation in brain', 'Nerve damage', 'Paresthesia', 'Abnormal sensations', 'Tingling', 'Numbness', 'Further testing\\EOS>']","['Normal_pressure_hydrocephalus', 'Fluid_retention', 'Loss_of_sensation', 'Paresthesia', 'Abnormal_involuntary_movements', 'Feeling_cold', 'Sleepiness', 'Estropipate_(Ogen)']"
2915,"Doctor, I have been experiencing seizures and paresthesia lately.","['Seizures', 'Paresthesia']","['Seizures', 'Paresthesia']","Those are concerning symptoms. Based on your description, it sounds like you may have hydrocephalus.",['Hydrocephalus'],['Normal_pressure_hydrocephalus']
2916,"Doctor, I am experiencing problems with movement. It is becoming increasingly difficult to move around.","['Difficult movement', 'Motor problems', 'Decreased mobility']","['Problems_with_movement', 'Loss_of_sensation', 'Diminished_vision']","Based on your symptoms, it's possible that you are suffering from hydrocephalus. This condition causes an accumulation of fluid in the brain, which can lead to problems with movement as well as a host of other symptoms.","['Hydrocephalus', 'Accumulation of fluid in the brain', 'Movement problems', 'Other symptoms']","['Normal_pressure_hydrocephalus', 'Fluid_retention', 'Problems_with_movement', 'Emotional_symptoms']"
2917,"Doctor, I have been having some trouble lately. I've noticed some abnormal involuntary movements, difficulty speaking, and even had some seizures. Could you tell me what might be causing this?","['Abnormal involuntary movements', 'Difficulty speaking', 'Seizures']","['Abnormal_involuntary_movements', 'Difficulty_speaking', 'Seizures']","I'm afraid it sounds like you might be suffering from hydrocephalus, a condition where there is an excessive amount of fluid buildup in the brain leading to pressure and damage to brain tissue. It can result in the symptoms you've described.","['excessive fluid buildup in the brain (hydrocephalus)', 'pressure', 'damage to brain tissue', 'symptoms']","['Normal_pressure_hydrocephalus', 'Pelvic_pressure', 'Incision_and_excision_of_CNS', 'Emotional_symptoms']"
2918,"Hi Doctor, I have a lump/mass in my breast and I have been experiencing bleeding and discharge from my nipple. Also, I feel joint stiffness and tightness.","['Breast lump/mass', 'Bleeding from nipple', 'Nipple discharge', 'Joint stiffness', 'Joint tightness']","['Back_mass_or_lump', 'Bleeding_or_discharge_from_nipple', 'Vaginal_discharge', 'Joint_stiffness_or_tightness', 'Joint_pain']","Based on your symptoms, it is possible that you have breast cancer. We will need to conduct further tests to confirm this. I recommend getting a mammogram and a biopsy to determine the extent of the cancer.","['Breast cancer', 'Mammogram', 'Biopsy']","['Examination_of_breast', 'Mammography_(Mammogram)', 'Biopsy']"
2919,"Doctor, I have been experiencing pain and soreness in my breast, what could be the cause?","['breast pain', 'Breast soreness']","['Pain_or_soreness_of_breast', 'Problems_with_shape_or_size_of_breast']","Based on your symptoms, it is possible that you might be suffering from breast cancer. I would recommend further testing to confirm.","['Breast cancer', 'Further testing']","['Examination_of_breast', 'Chlamydia_test']"
2920,"Doctor, I have been experiencing joint stiffness or tightness lately, what could be the reason for this?","['Joint stiffness', 'Joint tightness']","['Joint_stiffness_or_tightness', 'Joint_pain']","Do you mind telling me if you have any other symptoms?Patient No, not really, just these joint stiffness and tightness. Could it be something serious?","['Joint stiffness', 'Joint tightness']","['Joint_stiffness_or_tightness', 'Joint_pain']"
2921,"Doctor, I have noticed a lump on my breast and have been experiencing hot flashes and a discharge from my nipple. What do you think could be the problem?","['Lump on breast', 'Hot flashes', 'Nipple discharge']","['Knee_lump_or_mass', 'Hot_flashes', 'Bleeding_or_discharge_from_nipple']","Based on your symptoms, it is possible that you have breast cancer. I would recommend scheduling a mammogram and biopsy to confirm the diagnosis and discuss treatment options with a specialist.","['Breast cancer', 'Mammogram', 'Biopsy', 'Treatment options', 'Specialist consultation']","['Examination_of_breast', 'Mammography_(Mammogram)', 'Biopsy', 'Other_therapeutic_procedures', 'Other_diagnostic_procedures_(interview;_evaluation;_consultation)']"
2922,"Doctor, I have been experiencing flatulence for a couple of days now. What could be causing this?","['Flatulence', 'Gastrointestinal discomfort or problems']","['Flatulence', 'Stomach_bloating']","Well, based on your medical history and symptoms, it's possible that you have anemia due to malignancy. Flatulence is a common symptom of this condition. We'll need to run some tests to confirm.","['Anemia due to malignancy', 'Flatulence', 'Medical tests']","['Hyperkalemia', 'Flatulence', 'Hematologic_tests_(Blood_test)']"
2923,"Doctor, I have been experiencing difficulty in swallowing, nosebleeds, vaginal pain, and pain in my anus. What could be causing these symptoms?","['Difficulty swallowing', 'Nosebleeds', 'Vaginal pain', 'Anal pain']","['Difficulty_in_swallowing', 'Nosebleed', 'Vaginal_pain', 'Pain_of_the_anus']","Based on your symptoms, it is likely that you are suffering from Anemia due to malignancy, which occurs when cancer cells cause bleeding and damage to the body's red blood cells. It's important we begin treatment as soon as possible to address the underlying malignancy and manage your anemia.","['Anemia due to malignancy', 'Cancer cells', 'Bleeding', 'Damage to red blood cells']","['Hyperkalemia', 'Liver_cancer', 'Rectal_bleeding', 'Hematologic_tests_(Blood_test)']"
2924,"Doctor, I keep having nosebleeds. What could be the possible cause of this?","['Nosebleeds', 'Possible causes']","['Nosebleed', 'Lack_of_growth']","Based on your medical history and symptoms, it is possible that you have anemia due to malignancy. Have you been feeling weak or fatigued lately?","['Anemia', 'Malignancy', 'Weakness', 'Fatigue']","['Hyperkalemia', 'Liver_cancer', 'Weakness', 'Fatigue']"
2925,"Doctor, I have been feeling very tired lately and I also have vaginal pain. I am also finding it difficult to swallow and have been experiencing hot flashes. ","['Fatigue', 'Vaginal pain', 'Difficulty swallowing', 'Hot flashes']","['Fatigue', 'Vaginal_pain', 'Difficulty_in_swallowing', 'Hot_flashes']","Based on those symptoms, I suspect you may be suffering from anemia due to malignancy.","['Anemia', 'Malignancy']","['Hyperkalemia', 'Liver_cancer']"
2926,"Doctor, I have been experiencing some vaginal pain lately. Can you tell me what might be causing it?",['Vaginal pain'],['Vaginal_pain'],"Based on your medical history and symptoms, it is possible that you are experiencing vaginal pain as a result of anemia due to malignancy. We will need to conduct further tests to confirm the diagnosis.","['Vaginal pain', 'Anemia', 'Malignancy', 'Further tests']","['Vaginal_pain', 'Hyperkalemia', 'Liver_cancer', 'Liver_function_tests_(Liver_test)']"
2927,"Doctor, I have been experiencing pain in my anus, black tarry stools, dizziness, and burning pain in my belly. What could be the problem?","['Pain in anus', 'Black tarry stools', 'Dizziness', 'Burning pain in belly']","['Pain_of_the_anus', 'Incontinence_of_stool', 'Dizziness', 'Burning_abdominal_pain']","Based on your symptoms, it seems like you might be suffering from Esophageal Varices. This is a condition in which the veins in your esophagus become enlarged and could cause bleeding. It can cause the symptoms you just mentioned. You need to seek immediate medical attention to manage and control this condition.","['Esophageal Varices', 'Enlarged veins in esophagus', 'Bleeding', 'Immediate medical attention']","['Esophageal_dilatation_(Esophageal_dilation)', 'Difficulty_in_swallowing', 'Rectal_bleeding', 'Intubation']"
2928,"Doctor, I've been feeling nauseous lately.",['Nausea'],['Nausea'],Your nausea could be caused by esophageal varices.,"['Nausea', 'Esophageal varices']","['Nausea', 'Esophageal_dilatation_(Esophageal_dilation)']"
2929,"Doctor, I've been feeling very weak lately and have noticed some itching on my skin. Can you tell me what might be causing these symptoms?","['Weakness', 'Itching', 'Skin']","['Weakness', 'Itching_of_skin', 'Skin_growth']","Based on your symptoms, you might be suffering from esophageal varices, which is a condition where the veins in your esophagus become swollen, leading to internal bleeding and low blood pressure, which can cause weakness. Itching of the skin can also be a symptom of this disease due to liver dysfunction.","['Esophageal varices', 'Swollen veins in esophagus', 'Internal bleeding', 'Low blood pressure', 'Weakness', 'Itching of the skin', 'Liver dysfunction']","['Esophageal_dilatation_(Esophageal_dilation)', 'Swollen_lymph_nodes', 'Rectal_bleeding', 'Decreased_heart_rate', 'Weakness', 'Itching_of_skin', 'Cirrhosis']"
